video,frame,label
Subject1_Activity10_Trial1_camera1.avi,1,0
Subject1_Activity10_Trial1_camera1.avi,2,0
Subject1_Activity10_Trial1_camera1.avi,3,0
Subject1_Activity10_Trial1_camera1.avi,4,0
Subject1_Activity10_Trial1_camera1.avi,5,0
Subject1_Activity10_Trial1_camera1.avi,6,0
Subject1_Activity10_Trial1_camera1.avi,7,0
Subject1_Activity10_Trial1_camera1.avi,8,0
Subject1_Activity10_Trial1_camera1.avi,9,0
Subject1_Activity10_Trial1_camera1.avi,10,0
Subject1_Activity10_Trial1_camera1.avi,11,0
Subject1_Activity10_Trial1_camera1.avi,12,0
Subject1_Activity10_Trial1_camera1.avi,13,0
Subject1_Activity10_Trial1_camera1.avi,14,0
Subject1_Activity10_Trial1_camera1.avi,15,0
Subject1_Activity10_Trial1_camera1.avi,16,0
Subject1_Activity10_Trial1_camera1.avi,17,0
Subject1_Activity10_Trial1_camera1.avi,18,0
Subject1_Activity10_Trial1_camera1.avi,19,0
Subject1_Activity10_Trial1_camera1.avi,20,0
Subject1_Activity10_Trial1_camera1.avi,21,0
Subject1_Activity10_Trial1_camera1.avi,22,0
Subject1_Activity10_Trial1_camera1.avi,23,0
Subject1_Activity10_Trial1_camera1.avi,24,0
Subject1_Activity10_Trial1_camera1.avi,25,0
Subject1_Activity10_Trial1_camera1.avi,26,0
Subject1_Activity10_Trial1_camera1.avi,27,0
Subject1_Activity10_Trial1_camera1.avi,28,0
Subject1_Activity10_Trial1_camera1.avi,29,0
Subject1_Activity10_Trial1_camera1.avi,30,0
Subject1_Activity10_Trial1_camera1.avi,31,0
Subject1_Activity10_Trial1_camera1.avi,32,0
Subject1_Activity10_Trial1_camera1.avi,33,0
Subject1_Activity10_Trial1_camera1.avi,34,0
Subject1_Activity10_Trial1_camera1.avi,35,0
Subject1_Activity10_Trial1_camera1.avi,36,0
Subject1_Activity10_Trial1_camera1.avi,37,0
Subject1_Activity10_Trial1_camera1.avi,38,0
Subject1_Activity10_Trial1_camera1.avi,39,0
Subject1_Activity10_Trial1_camera1.avi,40,0
Subject1_Activity10_Trial1_camera1.avi,41,0
Subject1_Activity10_Trial1_camera1.avi,42,0
Subject1_Activity10_Trial1_camera1.avi,43,0
Subject1_Activity10_Trial1_camera1.avi,44,0
Subject1_Activity10_Trial1_camera1.avi,45,0
Subject1_Activity10_Trial1_camera1.avi,46,0
Subject1_Activity10_Trial1_camera1.avi,47,0
Subject1_Activity10_Trial1_camera1.avi,48,0
Subject1_Activity10_Trial1_camera1.avi,49,0
Subject1_Activity10_Trial1_camera1.avi,50,0
Subject1_Activity10_Trial1_camera1.avi,51,0
Subject1_Activity10_Trial1_camera1.avi,52,0
Subject1_Activity10_Trial1_camera1.avi,53,0
Subject1_Activity10_Trial1_camera1.avi,54,0
Subject1_Activity10_Trial1_camera1.avi,55,0
Subject1_Activity10_Trial1_camera1.avi,56,0
Subject1_Activity10_Trial1_camera1.avi,57,0
Subject1_Activity10_Trial1_camera1.avi,58,0
Subject1_Activity10_Trial1_camera1.avi,59,0
Subject1_Activity10_Trial1_camera1.avi,60,0
